datetime,nbbike,nbdock,nbbikeoverflow,nbfreedock,nbebike,nbedock,nbebikeoverflow,nbfreeedock,station_state,kioskstate,maxbikeoverflow,creditcard,station_type,overflowactivation,station_code,overflow,duedate,densitylevel
2020-02-19T09:34:00.655Z,18,null,0,null,5,24,null,1,"Operative","yes",null,"no",null,"no","21119",null,null,null
2020-02-19T09:49:00.598Z,18,null,0,null,5,24,null,1,"Operative","yes",null,"no",null,"no","21119",null,null,null
2020-02-19T10:05:05.449Z,18,null,0,null,5,24,null,1,"Operative","yes",null,"no",null,"no","21119",null,null,null
2020-02-19T10:19:01.851Z,18,null,0,null,3,24,null,3,"Operative","yes",null,"no",null,"no","21119",null,null,null
2020-02-19T10:34:00.462Z,17,null,0,null,3,24,null,4,"Operative","yes",null,"no",null,"no","21119",null,null,null
2020-02-19T10:49:00.685Z,18,null,0,null,3,24,null,3,"Operative","yes",null,"no",null,"no","21119",null,null,null
2020-02-19T11:05:00.832Z,18,null,0,null,3,24,null,3,"Operative","yes",null,"no",null,"no","21119",null,null,null
2020-02-19T11:19:00.614Z,18,null,0,null,2,24,null,4,"Operative","yes",null,"no",null,"no","21119",null,null,null
2020-02-19T11:34:00.981Z,18,null,0,null,2,24,null,4,"Operative","yes",null,"no",null,"no","21119",null,null,null
2020-02-19T11:49:00.896Z,18,null,0,null,2,24,null,4,"Operative","yes",null,"no",null,"no","21119",null,null,null
2020-02-19T12:05:00.991Z,18,null,0,null,2,24,null,4,"Operative","yes",null,"no",null,"no","21119",null,null,null
2020-02-19T12:19:00.754Z,19,null,0,null,3,24,null,2,"Operative","yes",null,"no",null,"no","21119",null,null,null
2020-02-19T12:34:00.561Z,18,null,0,null,3,24,null,3,"Operative","yes",null,"no",null,"no","21119",null,null,null
2020-02-19T12:49:00.492Z,18,null,0,null,3,24,null,3,"Operative","yes",null,"no",null,"no","21119",null,null,null
