datetime,nbbike,nbdock,nbbikeoverflow,nbfreedock,nbebike,nbedock,nbebikeoverflow,nbfreeedock,station_state,kioskstate,maxbikeoverflow,creditcard,station_type,overflowactivation,station_code,overflow,duedate,densitylevel
2019-12-22T16:26:00.863Z,22,0,0,0,16,60,0,14,"Operative","yes",60,"yes","yes","no","7023","no","2019-07-15","1"
2019-12-22T16:30:02.258Z,24,0,0,0,13,60,0,15,"Operative","yes",60,"yes","yes","no","7023","no","2019-07-15","1"
2019-12-22T16:38:03.284Z,23,0,0,0,14,60,0,15,"Operative","yes",60,"yes","yes","no","7023","no","2019-07-15","1"
2019-12-22T16:46:00.741Z,26,0,0,0,12,60,0,14,"Operative","yes",60,"yes","yes","no","7023","no","2019-07-15","1"
2019-12-22T17:01:01.164Z,24,0,0,0,17,60,0,17,"Operative","yes",60,"yes","yes","no","7023","no","2019-07-15","1"
2019-12-22T17:16:01.471Z,23,0,0,0,18,60,0,17,"Operative","yes",60,"yes","yes","no","7023","no","2019-07-15","1"
2019-12-22T17:31:00.889Z,18,0,0,0,15,60,0,25,"Operative","yes",60,"yes","yes","no","7023","no","2019-07-15","1"
2019-12-22T17:46:00.556Z,18,0,0,0,12,60,0,27,"Operative","yes",60,"yes","yes","no","7023","no","2019-07-15","1"
2019-12-22T18:01:00.915Z,16,0,0,0,11,60,0,30,"Operative","yes",60,"yes","yes","no","7023","no","2019-07-15","1"
2019-12-22T18:16:00.617Z,16,0,0,0,11,60,0,30,"Operative","yes",60,"yes","yes","no","7023","no","2019-07-15","1"
2019-12-22T18:31:00.532Z,12,0,0,0,7,60,0,38,"Operative","yes",60,"yes","yes","no","7023","no","2019-07-15","1"
2019-12-22T18:46:00.639Z,13,0,0,0,8,60,0,36,"Operative","yes",60,"yes","yes","no","7023","no","2019-07-15","1"
2019-12-22T19:01:00.829Z,11,0,0,0,6,60,0,40,"Operative","yes",60,"yes","yes","no","7023","no","2019-07-15","1"
2019-12-22T19:16:01.252Z,12,0,0,0,5,60,0,40,"Operative","yes",60,"yes","yes","no","7023","no","2019-07-15","1"
2019-12-22T19:31:00.851Z,15,0,0,0,8,60,0,34,"Operative","yes",60,"yes","yes","no","7023","no","2019-07-15","1"
2019-12-22T19:46:00.517Z,14,0,0,0,8,60,0,35,"Operative","yes",60,"yes","yes","no","7023","no","2019-07-15","1"
2019-12-22T20:02:00.709Z,13,0,0,0,10,60,0,34,"Operative","yes",60,"yes","yes","no","7023","no","2019-07-15","1"
2019-12-22T20:16:00.919Z,12,0,0,0,8,60,0,37,"Operative","yes",60,"yes","yes","no","7023","no","2019-07-15","1"
2019-12-22T20:31:00.505Z,15,0,0,0,6,60,0,36,"Operative","yes",60,"yes","yes","no","7023","no","2019-07-15","1"
2019-12-22T20:46:01.268Z,17,0,0,0,6,60,0,34,"Operative","yes",60,"yes","yes","no","7023","no","2019-07-15","1"
2019-12-22T21:01:00.518Z,17,0,0,0,6,60,0,34,"Operative","yes",60,"yes","yes","no","7023","no","2019-07-15","1"
2019-12-22T21:16:00.681Z,18,0,0,0,5,60,0,34,"Operative","yes",60,"yes","yes","no","7023","no","2019-07-15","1"
2019-12-22T21:31:00.540Z,11,0,0,0,4,60,0,42,"Operative","yes",60,"yes","yes","no","7023","no","2019-07-15","1"
