datetime,nbbike,nbdock,nbbikeoverflow,nbfreedock,nbebike,nbedock,nbebikeoverflow,nbfreeedock,station_state,kioskstate,maxbikeoverflow,creditcard,station_type,overflowactivation,station_code,overflow,duedate,densitylevel
2020-02-21T09:52:01.934Z,1,null,0,null,2,28,null,25,"Operative","yes",null,"no",null,"no","21316",null,null,null
2020-02-21T09:57:01.502Z,1,null,0,null,2,28,null,25,"Operative","yes",null,"no",null,"no","21316",null,null,null
2020-02-21T10:05:00.736Z,1,null,0,null,1,28,null,26,"Operative","yes",null,"no",null,"no","21316",null,null,null
2020-02-21T10:19:00.938Z,1,null,0,null,1,28,null,26,"Operative","yes",null,"no",null,"no","21316",null,null,null
2020-02-21T10:34:00.960Z,1,null,0,null,1,28,null,26,"Operative","yes",null,"no",null,"no","21316",null,null,null
2020-02-21T10:49:01.011Z,0,null,0,null,0,28,null,28,"Operative","yes",null,"no",null,"no","21316",null,null,null
2020-02-21T11:05:01.146Z,0,null,0,null,0,28,null,28,"Operative","yes",null,"no",null,"no","21316",null,null,null
2020-02-21T11:19:00.928Z,0,null,0,null,0,28,null,28,"Operative","yes",null,"no",null,"no","21316",null,null,null
2020-02-21T11:34:00.999Z,0,null,0,null,0,28,null,28,"Operative","yes",null,"no",null,"no","21316",null,null,null
2020-02-21T11:49:00.510Z,0,null,0,null,0,28,null,28,"Operative","yes",null,"no",null,"no","21316",null,null,null
2020-02-21T12:05:03.129Z,0,null,0,null,0,28,null,28,"Operative","yes",null,"no",null,"no","21316",null,null,null
2020-02-21T12:19:00.451Z,0,null,0,null,0,28,null,28,"Operative","yes",null,"no",null,"no","21316",null,null,null
2020-02-21T12:33:00.589Z,0,null,0,null,0,28,null,28,"Operative","yes",null,"no",null,"no","21316",null,null,null
2020-02-21T12:48:00.528Z,0,null,0,null,0,28,null,28,"Operative","yes",null,"no",null,"no","21316",null,null,null
2020-02-21T13:05:01.432Z,0,null,0,null,0,28,null,28,"Operative","yes",null,"no",null,"no","21316",null,null,null
2020-02-21T13:18:00.613Z,0,null,0,null,0,28,null,28,"Operative","yes",null,"no",null,"no","21316",null,null,null
2020-02-21T13:24:01.006Z,0,null,0,null,1,28,null,27,"Operative","yes",null,"no",null,"no","21316",null,null,null
2020-02-21T13:34:01.137Z,0,null,0,null,1,28,null,27,"Operative","yes",null,"no",null,"no","21316",null,null,null
2020-02-21T13:48:01.047Z,0,null,0,null,1,28,null,27,"Operative","yes",null,"no",null,"no","21316",null,null,null
2020-02-21T14:05:00.911Z,0,null,0,null,1,28,null,27,"Operative","yes",null,"no",null,"no","21316",null,null,null
2020-02-21T14:19:01.037Z,0,null,0,null,1,28,null,27,"Operative","yes",null,"no",null,"no","21316",null,null,null
2020-02-21T14:34:00.571Z,0,null,0,null,1,28,null,27,"Operative","yes",null,"no",null,"no","21316",null,null,null
2020-02-21T14:48:00.641Z,0,null,0,null,1,28,null,27,"Operative","yes",null,"no",null,"no","21316",null,null,null
2020-02-21T15:05:00.874Z,0,null,0,null,1,28,null,27,"Operative","yes",null,"no",null,"no","21316",null,null,null
