datetime,nbbike,nbdock,nbbikeoverflow,nbfreedock,nbebike,nbedock,nbebikeoverflow,nbfreeedock,station_state,kioskstate,maxbikeoverflow,creditcard,station_type,overflowactivation,station_code,overflow,duedate,densitylevel
2019-12-22T16:26:00.863Z,1,0,0,0,2,28,0,19,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
2019-12-22T16:30:02.258Z,1,0,0,0,5,28,0,17,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
2019-12-22T16:38:03.284Z,0,0,0,0,3,28,0,20,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
2019-12-22T16:46:00.741Z,0,0,0,0,3,28,0,20,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
2019-12-22T17:01:01.164Z,0,0,0,0,6,28,0,20,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
2019-12-22T17:16:01.471Z,0,0,0,0,6,28,0,20,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
2019-12-22T17:31:00.889Z,0,0,0,0,6,28,0,20,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
2019-12-22T17:46:00.556Z,3,0,0,0,8,28,0,15,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
2019-12-22T18:01:00.915Z,0,0,0,0,9,28,0,17,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
2019-12-22T18:16:00.617Z,1,0,0,0,10,28,0,14,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
2019-12-22T18:31:00.532Z,0,0,0,0,8,28,0,17,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
2019-12-22T18:46:00.639Z,2,0,0,0,4,28,0,19,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
2019-12-22T19:01:00.829Z,3,0,0,0,9,28,0,13,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
2019-12-22T19:16:01.252Z,0,0,0,0,7,28,0,18,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
2019-12-22T19:31:00.851Z,0,0,0,0,4,28,0,21,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
2019-12-22T19:46:00.517Z,0,0,0,0,5,28,0,20,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
2019-12-22T20:02:00.709Z,0,0,0,0,3,28,0,22,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
2019-12-22T20:16:00.919Z,2,0,0,0,5,28,0,18,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
2019-12-22T20:31:00.505Z,3,0,0,0,5,28,0,17,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
2019-12-22T20:46:01.268Z,4,0,0,0,5,28,0,16,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
2019-12-22T21:01:00.518Z,0,0,0,0,3,28,0,22,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
2019-12-22T21:16:00.681Z,0,0,0,0,4,28,0,21,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
2019-12-22T21:31:00.540Z,0,0,0,0,4,28,0,21,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
2019-12-22T21:31:00.540Z,0,0,0,0,4,28,0,21,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
2019-12-22T22:02:00.634Z,0,0,0,0,7,28,0,18,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
2019-12-22T22:16:01.048Z,0,0,0,0,9,28,0,16,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
2019-12-22T22:31:00.870Z,0,0,0,0,11,28,0,14,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
2019-12-22T22:46:00.557Z,0,0,0,0,10,28,0,15,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
2019-12-22T23:02:00.888Z,0,0,0,0,7,28,0,18,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
2019-12-22T23:15:00.818Z,0,0,0,0,6,28,0,19,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
2019-12-22T23:28:14.175Z,0,0,0,0,3,28,0,22,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
2019-12-22T23:47:00.464Z,0,0,0,0,3,28,0,22,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
2019-12-23T00:06:00.770Z,0,0,0,0,3,28,0,22,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
2019-12-23T00:17:00.602Z,0,0,0,0,4,28,0,21,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
2019-12-23T00:32:00.664Z,0,0,0,0,3,28,0,22,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
2019-12-23T00:32:00.664Z,0,0,0,0,3,28,0,22,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
2019-12-23T01:02:01.150Z,0,0,0,0,3,28,0,22,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
2019-12-23T01:17:00.544Z,0,0,0,0,3,28,0,22,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
2019-12-23T01:32:01.087Z,0,0,0,0,3,28,0,22,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
2019-12-23T01:47:00.498Z,0,0,0,0,3,28,0,22,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
2019-12-23T02:02:00.588Z,0,0,0,0,3,28,0,22,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
2019-12-23T02:17:01.107Z,0,0,0,0,3,28,0,22,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
2019-12-23T02:32:00.645Z,0,0,0,0,3,28,0,22,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
2019-12-23T02:47:00.944Z,0,0,0,0,3,28,0,22,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
2019-12-23T03:02:00.739Z,0,0,0,0,3,28,0,22,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
2019-12-23T03:17:00.501Z,0,0,0,0,3,28,0,22,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
2019-12-23T03:32:00.664Z,0,0,0,0,4,28,0,21,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
2019-12-23T03:47:00.543Z,0,0,0,0,3,28,0,22,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
2019-12-23T04:02:01.241Z,1,0,0,0,4,28,0,20,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
2019-12-23T04:17:00.520Z,1,0,0,0,5,28,0,19,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
2019-12-23T04:32:00.703Z,1,0,0,0,5,28,0,19,"Operative","yes",28,"yes","yes","no","10151","no","2018-02-28","1"
