datetime,nbbike,nbdock,nbbikeoverflow,nbfreedock,nbebike,nbedock,nbebikeoverflow,nbfreeedock,station_state,kioskstate,maxbikeoverflow,creditcard,station_type,overflowactivation,station_code,overflow,duedate,densitylevel
2020-02-04T09:48:00.916Z,0,0,0,0,0,0,0,0,"Work in progress","no",0,"no","no","no","15201","no","2020-03-15","1"
2020-02-04T10:03:01.006Z,0,0,0,0,0,0,0,0,"Work in progress","no",0,"no","no","no","15201","no","2020-03-15","1"
2020-02-04T10:18:01.021Z,0,0,0,0,0,0,0,0,"Work in progress","no",0,"no","no","no","15201","no","2020-03-15","1"
2020-02-04T10:33:00.680Z,0,0,0,0,0,0,0,0,"Work in progress","no",0,"no","no","no","15201","no","2020-03-15","1"
2020-02-04T10:48:01.203Z,0,0,0,0,0,0,0,0,"Work in progress","no",0,"no","no","no","15201","no","2020-03-15","1"
2020-02-04T11:03:00.453Z,0,0,0,0,0,0,0,0,"Work in progress","no",0,"no","no","no","15201","no","2020-03-15","1"
2020-02-04T11:18:01.168Z,0,0,0,0,0,0,0,0,"Work in progress","no",0,"no","no","no","15201","no","2020-03-15","1"
2020-02-04T11:33:00.999Z,0,0,0,0,0,0,0,0,"Work in progress","no",0,"no","no","no","15201","no","2020-03-15","1"
2020-02-04T11:48:00.697Z,0,0,0,0,0,0,0,0,"Work in progress","no",0,"no","no","no","15201","no","2020-03-15","1"
2020-02-04T12:03:00.512Z,0,0,0,0,0,0,0,0,"Work in progress","no",0,"no","no","no","15201","no","2020-03-15","1"
2020-02-04T12:18:01.311Z,0,0,0,0,0,0,0,0,"Work in progress","no",0,"no","no","no","15201","no","2020-03-15","1"
2020-02-04T12:33:00.593Z,0,0,0,0,0,0,0,0,"Work in progress","no",0,"no","no","no","15201","no","2020-03-15","1"
2020-02-04T12:48:02.268Z,0,0,0,0,0,0,0,0,"Work in progress","no",0,"no","no","no","15201","no","2020-03-15","1"
2020-02-04T13:03:00.934Z,0,0,0,0,0,0,0,0,"Work in progress","no",0,"no","no","no","15201","no","2020-03-15","1"
2020-02-04T13:18:00.957Z,0,0,0,0,0,0,0,0,"Work in progress","no",0,"no","no","no","15201","no","2020-03-15","1"
2020-02-04T13:33:00.844Z,0,0,0,0,0,0,0,0,"Work in progress","no",0,"no","no","no","15201","no","2020-03-15","1"
2020-02-04T13:48:00.614Z,0,0,0,0,0,0,0,0,"Work in progress","no",0,"no","no","no","15201","no","2020-03-15","1"
2020-02-04T14:03:03.597Z,0,0,0,0,0,0,0,0,"Work in progress","no",0,"no","no","no","15201","no","2020-03-15","1"
2020-02-04T14:18:00.564Z,0,0,0,0,0,0,0,0,"Work in progress","no",0,"no","no","no","15201","no","2020-03-15","1"
2020-02-04T14:33:00.590Z,0,0,0,0,0,0,0,0,"Work in progress","no",0,"no","no","no","15201","no","2020-03-15","1"
2020-02-04T14:48:01.149Z,0,0,0,0,0,0,0,0,"Work in progress","no",0,"no","no","no","15201","no","2020-03-15","1"
