datetime,nbbike,nbdock,nbbikeoverflow,nbfreedock,nbebike,nbedock,nbebikeoverflow,nbfreeedock,station_state,kioskstate,maxbikeoverflow,creditcard,station_type,overflowactivation,station_code,overflow,duedate,densitylevel
2020-01-22T10:28:00.717Z,0,36,0,36,0,32,0,32,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-22","1"
2020-01-22T10:32:00.600Z,0,36,0,36,0,37,0,37,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-22","1"
2020-01-22T10:48:01.364Z,0,36,0,36,0,38,0,38,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-22","1"
2020-01-22T10:59:00.648Z,0,36,0,36,0,38,0,38,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-22","1"
2020-01-22T11:02:01.854Z,0,36,0,36,0,38,0,38,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-22","1"
2020-01-22T11:05:02.088Z,0,36,0,36,0,38,0,38,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-22","1"
2020-01-22T11:15:00.611Z,0,24,0,24,0,38,0,38,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-22","1"
2020-01-22T11:15:00.611Z,0,24,0,24,0,38,0,38,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-22","1"
2020-01-23T06:03:01.480Z,0,0,0,0,0,37,0,37,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T06:18:00.567Z,0,0,0,0,0,37,0,37,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T06:32:00.629Z,0,0,0,0,0,37,0,37,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T06:48:01.244Z,0,0,0,0,1,37,0,36,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T07:18:01.798Z,0,0,0,0,0,37,0,37,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T07:33:00.525Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T07:47:00.731Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T08:03:00.538Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T08:18:00.545Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T08:33:00.712Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T08:48:00.847Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T09:03:00.526Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T09:18:00.912Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T09:33:01.251Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T09:48:01.750Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T10:03:00.869Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T10:18:02.008Z,0,0,0,0,1,37,0,33,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T10:32:00.558Z,0,0,0,0,1,37,0,33,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T10:47:01.212Z,0,0,0,0,1,37,0,33,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T11:02:00.651Z,0,0,0,0,1,37,0,33,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T11:15:00.873Z,0,0,0,0,1,37,0,33,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T11:32:01.033Z,0,0,0,0,1,37,0,33,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T11:47:00.612Z,0,0,0,0,1,37,0,33,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T12:03:03.535Z,0,0,0,0,1,37,0,33,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T12:17:00.473Z,0,0,0,0,1,37,0,33,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T12:32:00.636Z,0,0,0,0,1,37,0,33,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T12:47:00.647Z,0,0,0,0,1,37,0,33,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T13:04:00.723Z,1,0,0,0,1,37,0,32,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T13:17:01.056Z,1,0,0,0,1,37,0,32,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T13:32:01.111Z,0,0,0,0,1,37,0,33,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T13:47:00.618Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T14:02:00.641Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T14:17:01.183Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T14:33:00.655Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T14:47:00.581Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T15:03:00.628Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T15:17:01.098Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T15:33:00.530Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T15:47:00.576Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T16:03:00.900Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T16:17:02.122Z,1,0,0,0,0,37,0,33,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T16:32:00.644Z,1,0,0,0,0,37,0,33,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T16:47:00.871Z,1,0,0,0,0,37,0,33,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T17:03:00.855Z,1,0,0,0,0,37,0,33,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T17:17:06.073Z,1,0,0,0,0,37,0,33,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T17:32:01.387Z,1,0,0,0,0,37,0,33,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T17:47:01.042Z,1,0,0,0,0,37,0,33,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T18:03:00.566Z,1,0,0,0,0,37,0,33,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T18:17:00.680Z,1,0,0,0,0,37,0,33,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T18:32:03.151Z,2,0,0,0,0,37,0,32,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T18:47:00.877Z,3,0,0,0,0,37,0,31,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T19:03:00.801Z,4,0,0,0,0,37,0,30,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T19:17:00.687Z,4,0,0,0,0,37,0,30,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T19:33:00.994Z,4,0,0,0,1,37,0,29,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T19:47:00.828Z,3,0,0,0,1,37,0,30,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T20:03:00.520Z,4,0,0,0,1,37,0,29,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T20:17:00.698Z,4,0,0,0,1,37,0,29,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T20:32:00.789Z,4,0,0,0,1,37,0,29,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T20:48:00.996Z,4,0,0,0,1,37,0,29,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T21:03:00.703Z,4,0,0,0,1,37,0,29,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T21:17:00.529Z,4,0,0,0,1,37,0,29,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T21:32:00.664Z,3,0,0,0,1,37,0,30,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T21:47:01.059Z,1,0,0,0,1,37,0,32,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T22:17:00.528Z,1,0,0,0,1,37,0,32,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T22:32:00.695Z,1,0,0,0,1,37,0,32,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T22:47:00.522Z,1,0,0,0,1,37,0,32,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T23:02:00.972Z,1,0,0,0,1,37,0,32,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T23:15:00.942Z,1,0,0,0,1,37,0,32,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T23:32:01.146Z,1,0,0,0,1,37,0,32,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-23T23:47:00.693Z,1,0,0,0,1,37,0,32,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-24T00:03:00.532Z,1,0,0,0,1,37,0,32,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-24T00:18:00.547Z,0,0,0,0,1,37,0,33,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-24T00:32:00.713Z,0,0,0,0,1,37,0,33,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-24T00:47:00.808Z,0,0,0,0,1,37,0,33,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-24T01:02:00.810Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-24T01:17:01.065Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-24T01:32:00.704Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-24T01:47:01.003Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-24T02:02:00.625Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-24T02:17:00.708Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-24T02:32:00.647Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-24T02:47:00.537Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-24T03:02:01.356Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-24T03:18:00.572Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-24T03:32:00.846Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-24T03:47:00.885Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-24T04:02:00.579Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-24T04:17:00.570Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-24T04:32:00.581Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-24T04:47:00.476Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-24T05:02:00.718Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-24T05:17:00.537Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-24T05:32:01.008Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-24T05:47:00.559Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-24T06:02:05.850Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-24T06:17:00.628Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-24T06:32:00.915Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-24T06:47:01.226Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-24T07:02:01.049Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-24T07:17:00.635Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-24T07:32:00.690Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-24T07:47:00.545Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-24T08:02:02.236Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
2020-01-24T08:17:00.955Z,0,0,0,0,0,37,0,34,"Operative","yes",37,"yes","yes","no","2102","no","2020-01-23","1"
