datetime,nbbike,nbdock,nbbikeoverflow,nbfreedock,nbebike,nbedock,nbebikeoverflow,nbfreeedock,station_state,kioskstate,maxbikeoverflow,creditcard,station_type,overflowactivation,station_code,overflow,duedate,densitylevel
2020-01-29T10:18:00.587Z,0,0,0,0,0,2,0,2,"Operative","no",0,"no","yes","no","9999987","no","2018-02-19","0"
2020-01-29T10:33:01.330Z,0,0,0,0,0,2,0,2,"Operative","no",0,"no","yes","no","9999987","no","2018-02-19","0"
2020-01-29T10:48:01.221Z,0,0,0,0,0,2,0,2,"Operative","no",0,"no","yes","no","9999987","no","2018-02-19","0"
2020-01-29T11:03:00.679Z,0,0,0,0,0,2,0,2,"Operative","no",0,"no","yes","no","9999987","no","2018-02-19","0"
2020-01-29T11:18:00.870Z,0,0,0,0,1,2,0,1,"Operative","no",0,"no","yes","no","9999987","no","2018-02-19","0"
2020-01-29T11:33:01.081Z,0,0,0,0,1,2,0,1,"Operative","no",0,"no","yes","no","9999987","no","2018-02-19","0"
2020-01-29T11:48:00.779Z,0,0,0,0,1,2,0,1,"Operative","no",0,"no","yes","no","9999987","no","2018-02-19","0"
2020-01-29T12:03:00.522Z,0,0,0,0,2,2,0,0,"Operative","no",0,"no","yes","no","9999987","no","2018-02-19","0"
2020-01-29T12:18:00.977Z,0,0,0,0,2,2,0,0,"Operative","no",0,"no","yes","no","9999987","no","2018-02-19","0"
2020-01-29T12:33:00.475Z,0,0,0,0,1,2,0,1,"Operative","no",0,"no","yes","no","9999987","no","2018-02-19","0"
2020-01-29T12:48:00.934Z,0,0,0,0,1,2,0,1,"Operative","no",0,"no","yes","no","9999987","no","2018-02-19","0"
2020-01-29T13:03:00.532Z,0,0,0,0,1,2,0,1,"Operative","no",0,"no","yes","no","9999987","no","2018-02-19","0"
2020-01-29T13:18:00.687Z,0,0,0,0,1,2,0,1,"Operative","no",0,"no","yes","no","9999987","no","2018-02-19","0"
2020-01-29T13:33:01.262Z,0,0,0,0,1,2,0,1,"Operative","no",0,"no","yes","no","9999987","no","2018-02-19","0"
2020-01-29T13:48:00.972Z,0,0,0,0,0,2,0,2,"Operative","no",0,"no","yes","no","9999987","no","2018-02-19","0"
2020-01-29T14:03:00.783Z,0,0,0,0,1,2,0,1,"Operative","no",0,"no","yes","no","9999987","no","2018-02-19","0"
2020-01-29T14:18:00.670Z,0,0,0,0,0,2,0,2,"Operative","no",0,"no","yes","no","9999987","no","2018-02-19","0"
2020-01-29T14:33:00.624Z,0,0,0,0,1,2,0,1,"Operative","no",0,"no","yes","no","9999987","no","2018-02-19","0"
2020-01-29T14:48:00.647Z,0,0,0,0,0,2,0,2,"Operative","no",0,"no","yes","no","9999987","no","2018-02-19","0"
2020-01-29T15:03:00.617Z,0,0,0,0,2,2,0,0,"Operative","no",0,"no","yes","no","9999987","no","2018-02-19","0"
2020-01-29T15:18:00.748Z,0,0,0,0,2,2,0,0,"Operative","no",0,"no","yes","no","9999987","no","2018-02-19","0"
2020-01-29T15:33:00.867Z,0,0,0,0,1,2,0,1,"Operative","no",0,"no","yes","no","9999987","no","2018-02-19","0"
2020-01-29T15:48:00.681Z,0,0,0,0,1,2,0,1,"Operative","no",0,"no","yes","no","9999987","no","2018-02-19","0"
2020-01-29T16:03:00.504Z,0,0,0,0,1,2,0,1,"Operative","no",0,"no","yes","no","9999987","no","2018-02-19","0"
2020-01-29T16:18:00.679Z,0,0,0,0,1,2,0,1,"Operative","no",0,"no","yes","no","9999987","no","2018-02-19","0"
2020-01-29T16:33:01.029Z,0,0,0,0,1,2,0,1,"Operative","no",0,"no","yes","no","9999987","no","2018-02-19","0"
